descriptive_name,currency_code,level,id,status,time_zone,manager
825 South Hill,CAD,2,3366763431,ENABLED,America/Los_Angeles,False
369 Grand - USD,USD,2,3548373750,ENABLED,America/Los_Angeles,False
3355 North Road,CAD,2,7457685074,CANCELED,America/Vancouver,False
1335 Howe - 1,CAD,2,9516940380,CANCELED,America/Vancouver,False
1335 Howe,CAD,2,4260519015,ENABLED,America/Vancouver,False
1335 Howe,CAD,2,2829699886,CANCELED,America/Vancouver,False
,CAD,1,8249912136,CANCELED,America/Toronto,False
,USD,1,7982992391,ENABLED,America/Vancouver,False
,CAD,1,8243914823,CANCELED,America/Vancouver,False
,CAD,1,9988975274,CANCELED,America/Vancouver,False
